Entidad,Recaudo_Total,Recaudo_Anual_Medio,CV_Interanual,Tendencia_Pct,N_Anios,Tipologia,R_Lag12,R_Lag1,IEP,ERS,Semaforo
LA CAPILLA,74313116.0,18578279.0,18.38953623786552,-1.4842666535474034,4,Criticos,0.4424093486430263,-0.15000016574529013,0.6613361278459899,40.57261439348582,AMARILLO
LA CEJA DEL TAMBO,2974502735.0,743625683.75,15.221217237111018,38.727415942349104,4,Dependientes,0.4340618944900143,-0.13092603912262019,1.0508670969968232,37.02242685510964,VERDE
LA CELIA,393422888.0,98355722.0,18.48286013114452,2.0271878030644723,4,Dependientes,0.5035654784723868,-0.1488626695920947,-0.9643013344463769,44.54448931450274,ROJO
LA CRUZ,569206179.0,142301544.75,18.488901344624235,-20.453861728018943,4,Criticos,0.4939235334404631,-0.15559907701858558,0.08952056711565402,42.06734870315981,ROJO
LA ESPERANZA,322739380.0,80684845.0,20.93455505509482,-9.727492195095621,4,Criticos,0.4810744856366229,-0.15324207842874443,0.8303086297693678,39.72922541897849,VERDE
LA ESTRELLA,1610243447.99,402560861.9975,16.381606803152298,47.90552737170899,4,Dependientes,0.6675548204705422,-0.18531817976726758,0.8674569512965747,31.01108123364572,VERDE
LA MACARENA,422825163.0,105706290.75,20.041653641686832,-27.03320852264415,4,Criticos,0.5253944733289843,-0.15684665601541747,-0.21187239255604035,42.84963433950633,ROJO
LA MERCED,196683138.0,49170784.5,21.82581186541201,-25.42373754480163,4,Criticos,0.48311251808248007,-0.13201784326280946,0.41032768604366626,42.043757802748694,ROJO
LA PALMA,240897248.0,60224312.0,17.308953272999457,-17.52044456730365,4,Criticos,0.4733754927300009,-0.15491555080887756,0.29008466697119883,41.57505440247795,NARANJA
LA PAZ ROBLES,1005395365.0,251348841.25,17.709486556580835,5.966405066926084,4,Dependientes,0.4757622373984621,-0.15596965910354282,0.11909328620910549,41.127179001211246,NARANJA
LA PENA,157008344.0,39252086.0,18.930502064286642,-28.62580297006381,4,Criticos,0.5029688509547358,-0.1543719168386186,-0.13389664120076972,43.064512960487825,ROJO
LA PINTADA,553320596.0,138330149.0,15.57106579063309,44.40771910106162,4,Dependientes,0.24314295890493756,-0.0642168126147345,0.44667153475646354,44.26635063641811,ROJO
LA PLAYA DE BELEN,280463972.0,70115993.0,16.658454269222418,-14.186906544987533,4,Criticos,0.4852800598485833,-0.15418290492648637,0.21521145186867216,41.245563639775504,NARANJA
LA PRIMAVERA,363493255.0,90873313.75,11.272851834541692,-10.051239052565087,4,Criticos,0.4834720163533258,-0.16259593544041087,-0.4726522259329009,42.59983106770336,ROJO
LA SALINA,37339061.0,9334765.25,16.335576472229942,-3.3750607708104923,4,Criticos,0.439838306248545,-0.15188047086336692,0.7818455001939665,39.93099221802338,VERDE
LA SIERRA,493473830.0,123368457.5,23.897877120503757,-49.29455618750846,4,Criticos,0.5520330213943025,-0.15947089970898987,-0.5025206339211453,44.850576393571146,ROJO
LA TOLA,263355869.0,65838967.25,24.98963299535784,-25.750807930542074,4,Criticos,0.5259320911668403,-0.15638324011325117,0.7756843048682013,40.13624102494508,AMARILLO
LA UNION,1821158453.0,455289613.25,14.243760645393833,-11.67739312576993,4,Dependientes,0.4582202039863328,-0.1400204047341959,0.1511534984015245,41.676432215020014,NARANJA
LA URIBE,328303060.0,82075765.0,16.507310011396036,-10.180881043265329,4,Criticos,0.48232738052187085,-0.1534856147607073,-0.23258196256119695,42.71788120032184,ROJO
LA VEGA,564227607.0,141056901.75,17.242449977929375,-17.33133401960603,4,Criticos,0.4863163826124129,-0.15419824201202587,0.1792523508744364,41.592454666113134,NARANJA
LA VICTORIA,35991773.0,8997943.25,16.74830532552529,-17.939917547268372,4,Criticos,0.4938179159150505,-0.15348867433153837,-0.054702546470605566,42.15955348349296,ROJO
LA VIRGINIA,2099112415.0,524778103.75,8.301483486549726,20.213539787958425,4,Dependientes,0.431685007724201,-0.12276908552822761,0.4302615537133412,38.90370220364282,VERDE
LABATECA,163790221.0,40947555.25,15.670667486472082,-22.6937201580551,4,Criticos,0.48552726223603954,-0.15223085691380353,-0.01525955306845333,42.270332636676585,ROJO
LABRANZAGRANDE,97972034.0,24493008.5,16.29842384557597,-18.982069924158154,4,Criticos,0.49175997472388905,-0.15396182281953089,0.1604724555674015,41.41460941877512,NARANJA
LANDAZURI,378934652.0,94733663.0,10.199460401246764,29.027142336932542,4,Dependientes,0.44036085753150594,-0.15463386635557866,0.6412081760150901,37.851037760889106,VERDE
LEIVA,310673535.0,77668383.75,18.17601306546032,-8.473192414023936,4,Criticos,0.4683786990623096,-0.15303627937671727,0.44483413759673124,40.90597085821587,AMARILLO
LENGUAZAQUE,266825757.0,66706439.25,17.424326617365928,-17.248246090425223,4,Criticos,0.4657133644201363,-0.13524374850513798,0.070778131192409,42.578563655974065,ROJO
LINARES,321199109.0,80299777.25,20.29435124050471,-29.859108980280514,4,Criticos,0.5336351178882025,-0.1566783645357507,-0.6898461467252537,44.50208226084297,ROJO
LITORAL DEL SAN JUANSANTA GENOVEVA DE D,338723780.0,84680945.0,17.471374671431942,-7.6468839595495774,4,Criticos,0.469587772618629,-0.15332157609522243,0.499790574182871,40.5125538481587,AMARILLO
LLORO,380336096.0,95084024.0,16.718994099183597,-1.7540393536562986,4,Dependientes,0.449047862137499,-0.15246579877786207,0.5904833782742269,40.35493678553585,AMARILLO
LOS ANDES SOTOMAYOR,323935044.0,80983761.0,17.05160412152957,-19.93510180392832,4,Criticos,0.49936533260826865,-0.15585578713975773,0.04971548184011249,41.77794790016905,NARANJA
LOS CORDOBAS,565479272.0,141369818.0,15.638456204422543,-17.20522381941526,4,Criticos,0.46644199606012127,-0.1541178203275323,0.49296991262028883,40.72864068966818,AMARILLO
LOS SANTOS,326171667.0,81542916.75,14.380462065997953,11.121754238696644,4,Dependientes,0.445457107543899,-0.14860392194596092,0.7039150493354096,39.04665812391208,VERDE
LOURDES,120600110.0,30150027.5,17.66918965581663,-7.170630938893837,4,Criticos,0.45988153653419583,-0.1533949355545301,0.6185901487835734,40.37060622729112,AMARILLO
LURUACO,880146748.0,220036687.0,19.959881355756874,-18.202912498859796,4,Criticos,0.48665323524460874,-0.15477418043822772,0.8855046421643964,39.58721196690078,VERDE
MACEO,345298770.0,86324692.5,17.772173739025817,6.49665331851602,4,Dependientes,0.4753375437200231,-0.14862271780148734,0.23444777472586864,40.714149685758755,AMARILLO
MACHETA,175261026.0,43815256.5,23.608380461018058,-1.716872295384143,4,Criticos,0.48555273544588884,-0.13787026232631766,0.6140280577042223,40.49388116764424,AMARILLO
MADRID,2471525423.46,617881355.865,17.276089185661544,-1.5403344615692487,4,Dependientes,0.40280071692208497,-0.1585292378850721,0.7617326530103491,41.11266011135022,NARANJA
MAGANGUE,5105412373.0,1276353093.25,20.497115854327717,-22.850581296227055,4,Dependientes,0.5237382623331036,-0.1559789400738669,0.06941220448793661,41.782930504681374,NARANJA
MAGUI PAYAN,383898266.0,95974566.5,22.844127113298658,-41.941993455109795,4,Criticos,0.5433347609170264,-0.15897062196217954,0.07821882224749865,42.49510718518375,ROJO
MAHATES,872028839.0,218007209.75,17.359412496857814,-13.543189343993703,4,Dependientes,0.4829594161906296,-0.15513114894095448,0.16230679398941214,41.59512500909372,NARANJA
MALLAMA PIEDRANCHA,252944768.0,63236192.0,18.187205442161623,-16.426866437498326,4,Criticos,0.4808502170066893,-0.154257705426934,0.6578938385753006,40.16250937765232,AMARILLO
MANATI,604856648.0,151214162.0,17.422061892361356,-8.92861080035612,4,Dependientes,0.46660070670757675,-0.15264180916160056,0.7697127636671734,39.68041374346025,VERDE
